nome,endereco,localidade,tipo,latitude,longitude
Feira do Produtor de Ceilândia,"QNP 01, Área Especial - Ceilândia Norte",Ceilândia,Feira/Mercado do Produtor,-15.8186,-48.1217
Feira do Produtor de Planaltina,"Setor Administrativo, Área Especial - Planaltina",Planaltina,Feira/Mercado do Produtor,-15.6178,-47.6528
Feira do Produtor de Brazlândia,"Setor Norte, Área Especial - Brazlândia",Brazlândia,Feira/Mercado do Produtor,-15.6703,-48.2014
Feira do Produtor do Gama,"Setor Central, Área Especial - Gama",Gama,Feira/Mercado do Produtor,-16.0192,-48.0653
Feira do Produtor de São Sebastião,"Centro, Área Especial - São Sebastião",São Sebastião,Feira/Mercado do Produtor,-15.8914,-47.7736
Feira do Produtor de Sobradinho,"Quadra Central, Área Especial - Sobradinho",Sobradinho,Feira/Mercado do Produtor,-15.6528,-47.7931
CEASA-DF,"SIA Trecho 10 Lote 5, Brasília",SIA,Feira/Mercado do Produtor,-15.8042,-47.9508
Mercado Orgânico do CEASA,"SIA Trecho 10 Lote 5, Brasília",SIA,Feira/Mercado do Produtor,-15.8042,-47.9508
Feira da Agricultura Familiar - Plano Piloto,"Estacionamento do Parque da Cidade, Brasília",Plano Piloto,Feira/Mercado do Produtor,-15.7801,-47.9292
Feira do Produtor do Paranoá,"Quadra Central, Área Especial - Paranoá",Paranoá,Feira/Mercado do Produtor,-15.7703,-47.7836
Feira do Produtor de Taguatinga,"Setor Central, Área Especial - Taguatinga",Taguatinga,Feira/Mercado do Produtor,-15.8344,-48.0556
Feira do Produtor do Núcleo Bandeirante,"Avenida Central, Área Especial - Núcleo Bandeirante",Núcleo Bandeirante,Feira/Mercado do Produtor,-15.8714,-47.9658
Feira do Produtor do Guará,"QE 25, Área Especial - Guará II",Guará,Feira/Mercado do Produtor,-15.8308,-47.9697
Feira do Produtor do Jardim Botânico,"Avenida do Cerrado, Área Especial - Jardim Botânico",Jardim Botânico,Feira/Mercado do Produtor,-15.8708,-47.7931
Feira do Produtor de Santa Maria,"Quadra Central, Área Especial - Santa Maria",Santa Maria,Feira/Mercado do Produtor,-16.0178,-48.0083
Feira do Produtor do Recanto das Emas,"Quadra 205, Área Especial - Recanto das Emas",Recanto das Emas,Feira/Mercado do Produtor,-15.9025,-48.0625
Feira do Produtor de Samambaia,"QN 303, Área Especial - Samambaia",Samambaia,Feira/Mercado do Produtor,-15.8694,-48.0775
Feira do Produtor do Riacho Fundo,"QN 07, Área Especial - Riacho Fundo I",Riacho Fundo,Feira/Mercado do Produtor,-15.8825,-48.0225
Feira do Produtor do Riacho Fundo II,"QN 14, Área Especial - Riacho Fundo II",Riacho Fundo II,Feira/Mercado do Produtor,-15.9042,-48.0525
Feira do Produtor do Lago Norte,"SHIN CA 5, Área Especial - Lago Norte",Lago Norte,Feira/Mercado do Produtor,-15.7372,-47.8331
Feira do Produtor do Lago Sul,"SHIS QI 11, Área Especial - Lago Sul",Lago Sul,Feira/Mercado do Produtor,-15.8372,-47.8731
Feira do Produtor do Itapoã,"Quadra 61, Área Especial - Itapoã",Itapoã,Feira/Mercado do Produtor,-15.7514,-47.7736
Feira do Produtor do Varjão,"Quadra 5, Área Especial - Varjão",Varjão,Feira/Mercado do Produtor,-15.7097,-47.8831
Feira do Produtor da Estrutural,"Setor Central, Área Especial - Estrutural",Estrutural,Feira/Mercado do Produtor,-15.7861,-47.9964
Feira do Produtor do Cruzeiro,"Quadra Central, Área Especial - Cruzeiro",Cruzeiro,Feira/Mercado do Produtor,-15.7894,-47.9372
Feira do Produtor do Sudoeste,"QRSW 8, Área Especial - Sudoeste",Sudoeste,Feira/Mercado do Produtor,-15.7972,-47.9247
Feira do Produtor da Candangolândia,"QR 5, Área Especial - Candangolândia",Candangolândia,Feira/Mercado do Produtor,-15.8517,-47.9508
Feira do Produtor do Park Way,"SMPW Quadra 5, Área Especial - Park Way",Park Way,Feira/Mercado do Produtor,-15.9097,-47.9625
Feira do Produtor de Vicente Pires,"Rua 4, Área Especial - Vicente Pires",Vicente Pires,Feira/Mercado do Produtor,-15.8042,-48.0181
Feira do Produtor de Águas Claras,"Avenida Araucárias, Área Especial - Águas Claras",Águas Claras,Feira/Mercado do Produtor,-15.8364,-48.0247
Pão de Açúcar - Asa Norte,"CLN 102, Bloco B - Asa Norte, Brasília",Plano Piloto,Supermercado,-15.7801,-47.9292
Pão de Açúcar - Asa Sul,"CLS 104, Bloco A - Asa Sul, Brasília",Plano Piloto,Supermercado,-15.7801,-47.9292
Carrefour - Asa Norte,"SCRN 502, Bloco B - Asa Norte, Brasília",Plano Piloto,Supermercado,-15.7801,-47.9292
Carrefour - Águas Claras,"Av. das Araucárias - Águas Claras, Brasília",Águas Claras,Supermercado,-15.8364,-48.0247
Extra - Asa Norte,"SCRN 706/707 - Asa Norte, Brasília",Plano Piloto,Supermercado,-15.7801,-47.9292
Extra - Asa Sul,"SHCS EQS 414/415 - Asa Sul, Brasília",Plano Piloto,Supermercado,-15.7801,-47.9292
Atacadão - Taguatinga,"QS 9 Rua 100 - Taguatinga, Brasília",Taguatinga,Supermercado,-15.8344,-48.0556
Atacadão - Ceilândia,"QNM 11 Área Especial 1 - Ceilândia, Brasília",Ceilândia,Supermercado,-15.8186,-48.1217
Assaí Atacadista - Ceilândia,"QNM 11 - Ceilândia, Brasília",Ceilândia,Supermercado,-15.8186,-48.1217
Assaí Atacadista - Taguatinga,"QS 9 - Taguatinga, Brasília",Taguatinga,Supermercado,-15.8344,-48.0556
Big Box - Águas Claras,"Av. das Araucárias - Águas Claras, Brasília",Águas Claras,Supermercado,-15.8364,-48.0247
Super Maia - Sobradinho,"Quadra 8 - Sobradinho, Brasília",Sobradinho,Supermercado,-15.6528,-47.7931
Super Maia - Taguatinga,"QND 27 - Taguatinga, Brasília",Taguatinga,Supermercado,-15.8344,-48.0556
Comper - Águas Claras,"Av. Castanheiras - Águas Claras, Brasília",Águas Claras,Supermercado,-15.8364,-48.0247
Comper - Sudoeste,"CLSW 300 - Sudoeste, Brasília",Sudoeste,Supermercado,-15.7972,-47.9247
Walmart - Samambaia,"QS 516 - Samambaia, Brasília",Samambaia,Supermercado,-15.8694,-48.0775
Sam's Club - Asa Norte,"SAAN Quadra 1 - Asa Norte, Brasília",Plano Piloto,Supermercado,-15.7801,-47.9292
Supercei - Ceilândia,"QNN 20 - Ceilândia, Brasília",Ceilândia,Supermercado,-15.8186,-48.1217
Supercei - Taguatinga,"QNL 1 - Taguatinga, Brasília",Taguatinga,Supermercado,-15.8344,-48.0556
Supercei - Sobradinho,"Quadra 14 - Sobradinho, Brasília",Sobradinho,Supermercado,-15.6528,-47.7931
